TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-RB-010,FDS-03-004,Create a BOM,Config Tool open at Item Master BOMs section for an assembled item,Create a BOM and add component lines,"BOM is created with parent item, version number, and effective date; each line specifies child item, quantity per parent, UOM, and sort order",,,,
FAT-RB-020,FDS-03-004,Reorder BOM lines,A draft BOM with multiple lines,Reorder lines using the up/down arrow buttons,Line sort order changes via arrows (no drag-and-drop); order persists on save,,,,
FAT-RB-030,FDS-03-005,BOM versioning,A published BOM,Revise the BOM (create new version) and publish it,A new version is created with a new EffectiveFrom; the prior version is soft-deleted (DeprecatedAt set) but remains queryable for historical traceability,,,,
FAT-RB-040,FDS-03-005,Historical BOM accuracy,A part with a superseded BOM version,Inspect an old production/LOT record that used the superseded version,Production records FK to the BOM version active at time of manufacture; the historical version is preserved and resolvable,,,,traceability check
FAT-RB-050,FDS-03-006,Single-level BOM,A BOM open in the editor,Review the BOM structure,BOM is single-level (one parent -> child lines); no nested/multi-level explosion is authored in the editor,,,,
FAT-RB-060,FDS-03-007,Create a route template,Config Tool open at Item Master Routes section for a manufactured item,Create a route template,"Route is created with item, version number, name, and effective date; soft-delete supported",,,,
FAT-RB-070,FDS-03-008,Add route steps,A draft route template,Add ordered route steps,"Each step references an operation template, carries a sequence number and a required flag",,,,
FAT-RB-080,FDS-03-008,Reorder route steps,A draft route with multiple steps,Reorder steps using the up/down arrow buttons,Step sequence changes via arrows and renumbers; order persists on save,,,,
FAT-RB-090,FDS-03-009,Steps do not prescribe machines,A route step open in the editor,Inspect what a route step references,Step references an operation template (operation role) only; there is no machine or location field — the operator picks an eligible machine at runtime,,,,
FAT-RB-100,FDS-03-010,Route versioning,A published route template,Revise the route (create new version) and publish it,A new version is created; the prior version is retained and production records FK to the version active at execution time,,,,
FAT-RB-110,FDS-03-011,Operation sequence flexibility,A route in use,Insert an additional operation and delete an operation within the route,"Operations can be inserted and removed within the route, supporting parts that skip steps or need extra operations",,,,
