TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-AUD-010,FDS-11-001,Operation log capture,A shop-floor action available (e.g. move or split a LOT),Perform the action then open the LOT's history detail,"An Audit.OperationLog entry is written with timestamp, user, terminal, location, severity, event type, entity type, entity id, and description",,,,No standalone operation-log browser; witnessed via LOT history detail / DB inspection
FAT-AUD-020,FDS-11-001,Operation-log atomicity,A mutating proc that fails after opening its transaction,Trigger a mutation that rolls back,"The operation-log write is atomic with the mutation — a rolled-back mutation leaves no orphan log row (write occurs inside the proc transaction)",,,,N/A by inspection
FAT-AUD-030,FDS-11-002,Configuration log browser,Config Tool Audit (Config Log) browser reachable at /audit,Open the browser and apply Entity Type / Severity / date-range / search filters,"The Configuration Log lists config changes; Apply filters and Reset clears them; timestamps display in Eastern time",,,,
FAT-AUD-040,FDS-11-002,Configuration change audit,Config Log browser open,"Make an engineering change (e.g. deprecate a downtime reason code), then find it in the Config Log and open its detail",Entry shows the change with a structured old/new JSON diff carrying resolved-name FK sub-objects; detail popup renders the change,,,,
FAT-AUD-050,FDS-11-003,Interface log capture,An external call path available (AIM or Zebra print),Trigger the external call and inspect Audit.InterfaceLog,"An interface-log row is written with system name, direction (INBOUND/OUTBOUND), event type, and description",,,,No dedicated interface-log browser; witness by DB inspection
FAT-AUD-060,FDS-11-004,Failure log browser,Failure Log browser reachable at /failure-log,"Cause a rejected mutation (e.g. deprecate an entity with active dependents), then open the Failure Log","Entry shows the attempted timestamp, user, entity, event type, failure reason, procedure name, and a JSON snapshot of the input parameters; detail popup opens",,,,
FAT-AUD-070,FDS-11-004,Failure-log analytics,Failure Log browser open with several logged rejections,Review the dashboard tiles,"Top Rejection Reasons and Top Failing Procedures tiles aggregate the rejections; entity/user/procedure/date filters narrow the list",,,,
FAT-AUD-080,FDS-11-005,High-fidelity interface logging,Interface logging configuration accessible,Enable high-fidelity mode for one target system,"Full RequestPayload and ResponsePayload are stored for that system; the mode is toggleable per target system without a restart",,,,N/A by inspection
FAT-AUD-090,FDS-11-006,Event type vocabulary,Any audit browser with an Event Type facet,Inspect the event type values on log entries,"Event types come from the normalized LogEventType table (e.g. LotMoved, DowntimeStarted, ConfigChanged) with no free-text drift; an unseeded code cannot be written",,,,
FAT-AUD-100,FDS-11-007,Entity type vocabulary,Config Log browser open,Open the Entity Type filter dropdown,"Entity types are populated from the normalized LogEntityType table (Lot, DowntimeEvent, DowntimeReasonCode, Location, etc.)",,,,
FAT-AUD-110,FDS-11-008,Code-string audit signatures,Access to a shared audit proc call path,Confirm the shared audit procs accept code strings and reject an unresolvable one,"Shared audit procs accept event/entity/severity as code strings resolved to ids internally; a code that does not resolve raises an error (surfaces a seeding gap/typo)",,,,N/A by inspection
FAT-AUD-120,FDS-11-011,Single-result-set convention,Any Ignition-consumed stored procedure,Inspect proc signatures and result-set behavior,"Procs return exactly one result set and declare no OUTPUT parameters; mutations emit a single SELECT Status/Message/NewId and reads return an empty set for not-found",,,,N/A by inspection
FAT-AUD-130,FDS-11-009,Retention policy,Partition-maintenance timer configured,Inspect the retention/partition maintenance configuration,"Differentiated retention is enforced via the monthly sliding-window partition process — 20-yr Honda traceability vs 7-yr general operational/audit; aged partitions purged in place",,,,Final per-table windows pending MPP IT confirmation (OI-35 B1)
FAT-AUD-140,FDS-11-010,BIGINT primary keys,Access to the audit schema,Inspect the four log tables' primary keys,"OperationLog, ConfigLog, InterfaceLog, and FailureLog all use BIGINT IDENTITY primary keys for high-volume append",,,,N/A by inspection
