TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-ENV-010,FDS-01-001,Gateway inspection,FAT gateway running,"On the Ignition Gateway status page, show the Gateway version, OS, and running module set","Single Ignition Gateway on Windows Server (>= 2019) hosting the Perspective project, OPC connections, Tag Historian, and Gateway scripts; version and edition displayed",,,,witnessed by inspection
FAT-ENV-020,FDS-01-001,Gateway inspection,Gateway status page open,Show the loaded MPP Perspective project and its Gateway timer/scheduled scripts,"MPP project is loaded and running; Gateway-scoped scripts (shift ticker, PLC watchers) are present and enabled",,,,
FAT-ENV-030,FDS-01-002,Database server inspection,SQL Server instance reachable,"Connect to the MES database and show product version, edition, and the schema list","SQL Server 2022 Standard; MES database exposes the 8 schemas (Location, Parts, Lots, Workorder, Quality, OEE, Tools, Audit)",,,,witnessed by inspection
FAT-ENV-040,FDS-01-003,Redundancy posture,Gateway config visible,Confirm the current redundancy configuration,No gateway redundancy is configured (out of current scope); architecture confirmed to permit adding a redundant gateway later with no schema or application change,,,,"SHOULD-level future-readiness, not a running feature"
FAT-ENV-050,FDS-01-004,Dev/Test environment,Access to non-prod environment,Show the separate development/test Ignition Gateway and its database,"A dedicated dev/test gateway exists mirroring production spec, backed by its own MES database (MPP_MES_Dev / MPP_MES_Test), separate from production",,,,witnessed by inspection
FAT-ENV-080,FDS-01-007,Tag Historian separation,Gateway Tag Historian configured,Show where process/tag values are historized versus where MES transactional records live,Time-series process data goes to the Ignition Tag Historian in a SEPARATE database (e.g. MPP_MES_Historian); MES transactional tables hold no tag time-series,,,,"may share the instance, never the database"
FAT-ENV-090,FDS-01-013,BOM cutover import,A sample Flexware BOM export (JSON) prepared,Run Parts.Bom_BulkLoadFromSeed against the sample export,Parts.Bom / Parts.BomLine are populated in one transaction; imported BOMs enter as VersionNumber 1 in Published state; re-running is idempotent,,,,proves the cutover BOM seed path
FAT-ENV-100,FDS-01-013,BOM cutover import,Bulk-load import loaded,Submit an export whose child item does not resolve to a Parts.Item,The entire import aborts with an error listing the unresolved child item(s); no partial BOM rows are written,,,,
FAT-ENV-190,FDS-14-001,Seed data load,Freshly provisioned FAT database,Verify the required configuration seed data is present,"Location hierarchy (~230 machines/areas/inventory), item master, defect codes, downtime reason codes, shift schedules, active quality specs, and container configurations are all loaded",,,,"configuration data, loaded regardless of migration decision"
FAT-ENV-200,FDS-15-001,Deployment plan,Deployment plan document available,Review the phased rollout plan,"Plan deploys area-by-area in production flow order starting at Die Cast (the LOT origin), each phase covering configuration, training, shadow commissioning, and go-live",,,,witnessed against the plan document
FAT-ENV-210,FDS-15-002,Deployment plan,Deployment plan document available,Review the shadow commissioning approach for an area,"Plan runs the new MES in parallel with the legacy system, operators dual-enter, validating WIP state, traceability, and report accuracy against legacy before go-live",,,,
FAT-ENV-220,FDS-15-003,FAT execution,This FAT session underway,Confirm the FAT is conducted off-site against simulated production data covering the required criteria,"FAT exercises LOT create/move/split/merge, production+consumption, container-to-label, hold/re-pack/release, simulated AIM, genealogy accuracy, and interlock validations",,,,this checklist IS the FAT record
FAT-ENV-230,FDS-15-004,SAT plan,SAT plan document available,Review the on-site SAT plan,"SAT plan repeats all FAT criteria plus live PLC/MIP handshake, live scale/OmniServer, live Zebra printing, scanners, live AIM, and production-volume performance",,,,SAT executed on-site post-FAT
FAT-ENV-240,FDS-15-005,Go-live support,Support agreement available,Confirm the go-live support commitment,On-site support covers the first 5 production days (24-hour coverage); remote support continues for 30 days after go-live,,,,witnessed against the plan/agreement
FAT-ENV-250,FDS-15-006,Rollback plan,Rollback plan document available,Review the per-phase rollback plan,A documented rollback exists for each phase; the legacy system stays operational through the shadow period so an area can revert with no data loss,,,,
FAT-ENV-260,FDS-15-007,Process change,A shop-floor terminal at a work area,Record production at point-of-action rather than on paper for later clerk entry,Production data is captured in real time at the machine; no data-entry-clerk step is required,,,,demonstrates the paper-first-to-real-time process change
FAT-ENV-270,FDS-15-008,Operator training,Training materials available,Review the operator training package for an area,"Training covers terminal login, LOT creation, production recording, reject entry, downtime logging, and that area's operation-template screens; delivered before shadow commissioning",,,,witnessed against training materials
