TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-TRC-010,FDS-05-001,LOT identity,Any LOT created in the system,Attempt to create a LOT with a duplicate LOT name,System rejects the duplicate; LOT names are unique and conform to the MPP format,,,,
FAT-TRC-020,FDS-05-001,LOT identity,A LOT exists,Open the LOT detail and compare the LOT ID and LOT Name,LOT ID is used as the LOT Name (identical),,,,
FAT-TRC-030,FDS-05-003,LOT attributes,A LOT exists,Review the LOT attributes on LOT detail,"Part number, piece count, max piece count, serial range (where applicable), weight, vendor lot, and hold state are all present",,,,
FAT-TRC-040,FDS-05-021,Attribute-change audit,A LOT exists,Change a LOT attribute (e.g. piece count) as an authorized user,"The change is recorded in the LOT attribute-change history with old/new value, user, and station",,,,
FAT-TRC-050,FDS-05-021,Attribute-change authorization,Logged in as an operator without elevation,Attempt a restricted LOT-attribute change,Change is blocked/elevation-gated; when performed it is audited with the logged-in user and terminal,,,,
FAT-TRC-060,FDS-05-016,Split genealogy,A LOT with sufficient pieces,Split the LOT into sub-LOTs,Sub-LOT → parent relationship is retained; genealogy edge and closure are recorded,,,,
FAT-TRC-070,FDS-05-012,Merge genealogy,Two same-part Good LOTs meeting merge rules,Merge the LOTs into a new LOT,"A new LOT is created; merge rules (part match, die-rank, quality status) are enforced; genealogy retained",,,,
FAT-TRC-080,FDS-05-017,Genealogy to origin,A LOT that has been split/consumed,Open the genealogy view and trace backward,Full genealogy is presented back to the originating LOT(s),,,,
FAT-TRC-090,FDS-05-017,LOT history,A LOT with production/movement/reject history,Open LOT detail history,"Complete process history + genealogy for the life of the LOT is shown, timestamps in Eastern time",,,,
FAT-TRC-100,FDS-12-001,Genealogy report export,A finished-good LOT with full genealogy,Request the genealogy report and export,Report is viewable on screen and exports to Excel or PDF; selectable by serial/lot/sub-lot,,,,
FAT-TRC-110,FDS-05-016,Quality linkage through splits,A LOT with a quality result that is later split,Split the inspected LOT and view the sub-LOT,Quality-result linkage is preserved through the split,,,,
FAT-TRC-120,NONE,Ingot exclusion,A produced die-cast part,Trace the part genealogy toward raw material,Aluminum ingots are NOT part of the produced-part genealogy (correctly absent),,,,FRS 3.9.1
FAT-TRC-130,FDS-05-002,LTT pre-printing,A batch of pre-printed LTT barcodes; none pre-registered,Scan an unused LTT to create a LOT then rescan an already-used one,Creating on first scan succeeds (no pre-registration); rescanning a used LTT is rejected as duplicate,,,,
FAT-TRC-140,FDS-05-031,Computed quantities,A LOT with production + consumption events,Open LOT detail and read TotalInProcess and InventoryAvailable,"Both derive live from the v_LotDerivedQuantities view (event tables), not materialized columns; values reconcile with the events",,,,
FAT-TRC-150,FDS-05-036,Lazy operator-driven create,No LOT pre-exists for an operation,Create the LOT at the moment of the operator's first action,"The LOT record is created on demand at operator action (lazy), never pre-provisioned",,,,
FAT-TRC-160,FDS-05-018,Genealogy report,A LOT with multi-level genealogy,Open the genealogy report/view,The report presents the full parent/child tree with production events and is viewable on screen,,,,
FAT-TRC-170,FDS-05-025,Post-sort merge gate,Two LOTs proposed for merge that have not completed sort/inspection,Attempt the merge,Merge is gated — LOTs must satisfy the post-sort requirement before merging,,,,Verify: sort-completion gate
FAT-TRC-180,FDS-05-026,Merge part-number match,Two LOTs of different part numbers,Attempt to merge them,Merge is rejected — only same-part-number LOTs may merge,,,,
FAT-TRC-190,FDS-05-027,Die-rank compatibility,Two same-part LOTs from incompatible die ranks,Attempt to merge them,Merge is rejected on die-rank incompatibility (DieRankCompatibility); a supervisor override is available where policy allows,,,,
FAT-TRC-200,FDS-05-028,Merge quality-status gating,Two LOTs where one is not Good,Attempt to merge them,Merge is rejected — all merge inputs must be Good (non-Good blocked),,,,
FAT-TRC-210,FDS-05-029,Machining is not a merge,A machining line consuming multiple castings,Inspect how machining combines input LOTs,"Machining uses FIFO-by-cavity consume-mint, not a merge; no merge genealogy record is created",,,,
FAT-TRC-220,FDS-05-030,Post-merge null tool/cavity,A LOT produced by a merge,Inspect the merged output LOT's tool/cavity,Merged LOT has NULL Tool/Cavity (provenance preserved via genealogy to the inputs),,,,
FAT-TRC-230,FDS-12-002,Serialized item search,A serialized part with a known serial,Search by serial number in the trace/search tool,The serialized part resolves with its producing LOT and container,,,,
FAT-TRC-240,FDS-12-003,Container search,A known container,Search by container / AIM shipper id,The container resolves with its contents and shipping label,,,,
FAT-TRC-250,FDS-12-004,LOT search,A LOT known by LOT/part/vendor,"Search by LOT number, part number, or vendor lot",Matching LOTs are returned with status and location,,,,
FAT-TRC-260,FDS-12-009,In-process LOT tracking,LOTs in process across the plant,Open the in-process LOT report,Active LOTs are listed with their current location and status,,,,Verify: report screen availability
FAT-TRC-270,FDS-12-010,Hold status report,LOTs/containers on hold,Open the hold status report,"Open holds are listed with type, reason, age, and subject",,,,
FAT-TRC-280,FDS-12-011,Shipping history,Shipped containers over a date range,Open the shipping history report,"Shipped containers list with AIM shipper id, part, quantity, and ship time",,,,Verify: report screen availability
FAT-TRC-290,FDS-12-012,Home-tile trace access,The plant-floor home screen,Open the Global Trace tool from the home tile,A Trace tile/entry point is present and opens the Global Trace tool,,,,
FAT-TRC-300,FDS-12-013,Trace input,The Global Trace tool,Enter a trace identifier (LOT / serial / container / part),The tool accepts and resolves multiple identifier types,,,,
FAT-TRC-310,FDS-12-014,Trace output + Honda export,A resolved trace subject,Produce the trace output and export,Full upstream/downstream genealogy is displayed and exports to Honda-format PDF/CSV,,,,Primary Honda deliverable
FAT-TRC-320,FDS-12-015,Banners-only notifications,A trace/quality condition raising a notification,Observe the MVP notification posture,Notifications surface as in-app banners only (no email/SMS) in MVP,,,,
FAT-TRC-330,FDS-16-001,Identifier sequence table,System seeded,Inspect the IdentifierSequence table,MESL (LOT) and MESI (serialized) sequences are seeded with their formats,,,,
FAT-TRC-340,FDS-16-002,Identifier next-value,Concurrent LOT creation,Mint identifiers under concurrent load,IdentifierSequence_Next issues gap-free unique values under row-locking; no duplicates under concurrency,,,,
FAT-TRC-350,FDS-16-003,Cutover-day seeding,Cutover checklist,Verify the identifier sequences are seeded to the agreed cutover start values,"Sequences start at the MPP-agreed cutover values (e.g. a +10,000 offset) so new IDs never collide with legacy",,,,deploy-day step
FAT-ENV-060,FDS-01-005,Event immutability,A LOT with recorded production events,Attempt to alter or delete a posted production/genealogy event; then record a correction,"Evidence and traceability records cannot be updated or deleted; the correction is written as a NEW event, leaving the original intact (append-only)",,,,
