TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-DC-010,FDS-06-001,Die Cast entry screen,Terminal assigned a Die Cast Machine flavor; a die is mounted,Navigate to the Die Cast Entry screen,"Screen loads showing the mounted tool, its cavities, and the current shift; Open / Record / Release tabs present",,,,
FAT-DC-020,FDS-06-001,Die Cast entry screen,Die Cast Entry open,Inspect the header/rail information,"Date/time + shift, machine, part number, die and cavity, good/scrap counts, and logged-in operator initials are all shown",,,,
FAT-DC-030,FDS-05-034,Open cavity basket,Mounted die with defined cavities,Open a new accumulating basket for a specific cavity,"A LOT is created for that (tool,cavity) with a printed LTT; the LOT records Die# and Cavity#",,,,
FAT-DC-040,FDS-05-039,Open cavity basket,One open basket already exists on a cavity,Attempt to open a second basket on the same cavity,System refuses — one open basket per (tool cavity) is enforced,,,,
FAT-DC-050,FDS-06-003,Record shift output,An open basket exists on at least one cavity,Enter the gross shot count and any scrap for the shift and submit,"Good = gross − scrap − shot-loss is credited to the open basket(s); a production/contribution record is written with operator, machine, die, cavity, counts",,,,
FAT-DC-060,FDS-06-019,Record shift output — scrap,Recording shift output,Enter one or more scrap reasons with quantities,Scrap is recorded additively as a separate metric and never decrements the basket good count,,,,
FAT-DC-070,FDS-06-003,Record shift output — shot loss,Recording shift output,Register a whole-shot loss,Shot loss fans out across every open cavity LOT on the tool and reduces computed good,,,,
FAT-DC-080,NONE,Die shot-count initialization,Commissioning/deploy checklist item,Verify the die shot-count was initialized to the current physical count at commissioning,Die shot counter reflects the real starting shot count (deploy-day step),,,,FRS 3.14.8 — commissioning
FAT-DC-090,FDS-05-041,Release basket to storage,An open basket has accumulated good pieces,Release the basket,Basket transitions Open → Good and moves to warehouse storage (first route movement); it now appears in the Trim IN queue,,,,
FAT-DC-100,FDS-05-041,Under-fill release warning,An open basket below the fill target,Release a basket under the soft ceiling,A warning is shown (5% tolerance) but release is permitted — soft ceiling never hard-blocks,,,,BRA refinement
FAT-DC-110,FDS-05-042,Void empty basket,An open basket with zero good pieces,Void the empty basket,Empty Open basket transitions to Scrap; no storage movement,,,,
FAT-DC-120,NONE,Basket overflow gate,Recording output that would exceed the basket ceiling,Submit output over the ceiling,Overflow-resolution popup offers fill+release+new-LTT or overfill; operator choice is honored,,,,BRA refinement
FAT-DC-130,FDS-05-004,Manufactured LOT creation,A mounted die at a die-cast machine terminal,Open a new per-cavity basket and confirm the LOT origin,"LOT is created with LotOriginType=Manufactured at the machine, ToolId/ToolCavityId set, status Open, PieceCount 0",,,,
FAT-DC-140,FDS-05-035,Tools system of record,A die-cast-origin LOT with tool + cavity,Inspect where Tool/Cavity are stored and check a downstream LOT,Tool and Cavity live on Lots.Lot (never on ProductionEvent); a downstream finished-good LOT carries NULL Tool/Cavity but resolves the die via genealogy,,,,
FAT-DC-150,FDS-05-040,Shift-output accumulate,An open cavity basket,Record shift output (the accumulate action) across two shifts,Each shift's net-good contribution is added to the open basket via DieCastContribution; the basket accumulates across shifts and operators until released,,,,
FAT-DC-160,FDS-06-002,Die cast validation,A die-cast entry with an item whose route lacks a DieCast step,Attempt to open/record for an ineligible item,Pre-record validation blocks: the item must be eligible at the cell and have a published DieCast-role route step; a clear warning is shown,,,,
FAT-DC-170,FDS-06-015,Production event immutability,A recorded die-cast shift-output / production event,Attempt to edit or delete the production event,ProductionEvent rows are append-only — no update or delete path; corrections are new events,,,,
FAT-DC-180,FDS-06-016,Production event fields,A recorded production event,Inspect the production event fields,"Event carries LotId, LocationId, TerminalLocationId, AppUserId, counts, and timestamp; Tool/Cavity are derived via the LOT, not stored on the event",,,,
FAT-DC-190,FDS-06-017,Reject recording,Die-cast shift-output entry with scrap,Record a reject with a defect code and quantity,A RejectEvent is written (optional — reject is not required to record production); scrap is additive and does not decrement the basket good count,,,,
FAT-DC-200,FDS-06-018,Reject event fields,A recorded reject event,Inspect the reject event fields,"RejectEvent carries LotId, defect code, reject quantity, scrap source, operator, terminal, and timestamp",,,,
