TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-MOVE-010,FDS-05-007,Movement tracking,A Good LOT at a known location,Move the LOT to a new location,"An immutable LotMovement row records LOT, from-location, to-location, moved-by user, terminal, and timestamp; CurrentLocationId is updated",,,,
FAT-MOVE-020,FDS-05-007,Movement tracking,A LOT that has been moved,Open the LOT history,The movement appears in the LOT history with the timestamp in Eastern time,,,,
FAT-MOVE-030,FDS-05-008,Movement workflow,A dedicated terminal with an operator presence established,Scan a LOT on the Movement Scan screen and record the move,"Destination defaults to the terminal's parent location (read-only); LOT is looked up by LTT, validated not Closed, and the move is recorded and confirmed",,,,
FAT-MOVE-040,FDS-05-008,Movement validation,A LOT whose item is not eligible at the chosen destination,Attempt the validated move,System rejects the move — the item must resolve at the destination (or an ancestor tier),,,,Already-at-this-location is pre-checked and the Move action is disabled
FAT-MOVE-050,FDS-05-008,Forward-only move guard,A LOT that has already advanced past an operation step,Attempt to move it back to that earlier operation,"Backward move is blocked with a message; a supervisor-override affordance permits it when authorized",,,,Operation-aware forward-only guard
FAT-MOVE-060,FDS-05-008,Movement validation,A LOT on Hold or Closed,Attempt to move the LOT,System refuses to move a blocked or closed LOT,,,,
FAT-MOVE-070,FDS-05-037,Complete and move,A component LOT (Die Cast / Trim / intermediate Machining) ready to advance,Use the combined Complete + Move action,"Status transition and movement happen in one atomic action; a partial basket is only Closed when the operator closes it",,,,
FAT-MOVE-080,FDS-05-037,Finished-goods close,An assembly finished-goods LOT filling a shipping container,Complete the container,The associated finished-goods LOT auto-closes as part of the Container Complete transaction,,,,
FAT-MOVE-090,FDS-05-032,Partial start and complete,A LOT started with N pieces at a workstation,Complete a partial quantity M (M less than or equal to N) later,"Start and Complete are independent operations with independent quantities, valid across shift boundaries",,,,"Verify at MVP: current build records checkpoint/flexible-operator quantities on the FIFO consume path rather than separate Start/Complete fields — confirm against this requirement"
FAT-MOVE-100,FDS-05-032,Partial start and complete,Start/Complete/Scrap events recorded for a LOT,Review the derived in-process quantity,In-process quantity is derived by event replay rather than a running atomic counter,,,,
FAT-MOVE-110,FDS-05-038,Pause LOT,A partially-progressed LOT at a Cell,Pause the LOT to work another LOT at the same Cell,"An open PauseEvent is written; the paused LOT keeps its partial state and the operator can run other LOTs at that Cell",,,,Pause is orthogonal to LOT status — no Paused status row
FAT-MOVE-120,FDS-05-038,Resume paused LOT,A Cell with one or more open pauses,Tap the Paused-LOT indicator and resume a LOT from the list,"Indicator shows the open-pause count; selecting and confirming resumes via LotPause_Resume and records ResumedByUserId (may differ from the pauser)",,,,No auto-prompt to resume; no TTL
FAT-MOVE-130,FDS-05-038,Pause guards,A blocked LOT and a LOT already paused at a Cell,Attempt to pause a held/closed LOT and to open a second pause at the same Cell,"Blocked/closed LOT cannot be paused; at most one open pause per (LOT, location) is enforced",,,,
FAT-MOVE-140,FDS-07-013,Shipping validation,A container with a shipping label at the Shipping Dock,Scan the container's shipping label,"System validates the container is Complete (not Hold/Void/already Shipped) and the label is not void before loading",,,,
FAT-MOVE-150,FDS-07-013,Shipping validation,A container that is on hold / void / not Complete,Scan the label at the dock,System prevents loading and displays the reason,,,,
FAT-MOVE-160,FDS-07-014,Ship confirmation,A valid Complete container with a non-void label,Confirm the ship,"Container status flips to Shipped, it moves to the shipping-out location, and the event is logged to Audit.OperationLog",,,,"Container has no source LotId — traceability is the container's own location move + ContainerShipped audit, not a per-LOT LotMovement"
FAT-MOVE-170,FDS-07-017,Sort cage re-pack,A held container of serialized parts sent to the Sort Cage,Unpack and re-pack a good serialized part into a new open container,"ContainerSerial is updated to the new container/tray position (SortCage_MigrateSerial); the destination container must be Open",,,,MVP-EXPANDED
FAT-MOVE-180,FDS-07-017,Sort cage audit trail,A serial migrated at the Sort Cage,Review the migration record,"A ContainerSerialHistory row captures old/new container and tray position, migration reason, and migrated-by user",,,,
FAT-MOVE-190,FDS-07-017,Sort cage label/AIM side-effects,A re-sort producing new LOTs and re-packed containers,Verify the downstream label and AIM steps fire,"New LTT labels (reason SORT_CAGE), new shipping labels, voiding of old labels, and AIM UpdateAim for serial migrations occur",,,,"Commissioning/partially-unwired: confirm which side-effects (new-LTT/label print, old-label void, AIM UpdateAim) are actually wired — the migrate-serial proc updates ContainerSerial only; label + AIM fan-out may be commissioning-time"
FAT-MOVE-200,FDS-07-018,Sort cage scope boundary,A Sort Cage disposition,Disposition good vs bad parts,"Disposition uses holds, splits, scrap, and re-pack; no formal NCM disposition codes or rework routing are surfaced (FUTURE)",,,,
FAT-MOVE-210,FDS-07-019,Sort cage is not a merge,A serialized part migrated from a held container into a new container,Inspect genealogy after the migration,"No LotGenealogy merge record is created; SerializedPart.LotId still points to the original source LOT (traceability preserved through the serial)",,,,
FAT-MOVE-220,FDS-07-019,Sort cage scrap disposition,A defective part identified during Sort Cage inspection,Disposition the defective part,"Scrap follows the split-to-scrap workflow (a Split genealogy record), never a Merge record",,,,
