TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-TERM-010,FDS-02-008,Terminal registration,Config Tool location admin,Register a shop-floor station as a Terminal Location,"Location created with LocationTypeDefinition = Terminal (resolving to LocationType = Cell), parented under a Cell/WorkCenter/Area",,,,
FAT-TERM-020,FDS-02-008,Terminal attributes,A registered Terminal,"Set IP address, default Zebra printer, and scanner-availability attributes",Attributes stored as LocationAttribute entries on the Terminal definition; registry surfaces a HasPrinter validation flag,,,,
FAT-TERM-030,FDS-02-008,Terminal requires child printer,A Terminal with no active child Printer,Review the terminal registry validation,HasPrinter flag marks the terminal as missing a printer; every Terminal carries at least one active child Printer Location,,,,
FAT-TERM-040,FDS-02-008,Terminal resolves by IP,A registered terminal,Open a Perspective session from the terminal's IP,"Gateway resolver returns terminal identity, parent zone, and DefaultScreen (Terminal_GetByIpAddress) — no mode carried",,,,
FAT-TERM-050,NONE,Unrecognized terminal gate,A station whose IP is not registered,Open a session from the unregistered IP,"Terminal Selector gate appears (fallback context = whole Facility, subtitle 'Madison Facility'); operator picks the terminal from the plant tree",,,,BRA affordance
FAT-TERM-060,FDS-02-009,Dedicated cell context,A terminal running a dedicated-flavor view,Start a session,Location context is fixed to the Terminal's parent Location (Cell/Line/Area); no selector shown; events carry both TerminalLocationId and LocationId,,,,
FAT-TERM-070,FDS-02-009,Shared cell context selection,A terminal running a shared-flavor view (Die Cast cabin),Start a session and pick the press,Operator selects context by scan or dropdown from the terminal-parent's descendant equipment Cells (Terminal_ListContextCells); chosen LocationId applies to subsequent events,,,,
FAT-TERM-080,FDS-02-009,Mid-session context change,A shared-flavor terminal with a context selected,Change the cell context by scan or dropdown,New LocationId applies to all subsequent events until changed again,,,,
FAT-TERM-090,FDS-02-010,View flavor determines behavior,Two terminals with different DefaultScreen assignments,Compare a dedicated-flavor and a shared-flavor terminal,Dedicated-vs-shared behavior follows the assigned operator view (DefaultScreen); no TerminalMode attribute exists; session.custom.presence.policy is set on load,,,,
FAT-TERM-100,FDS-02-010,DefaultScreen assignment,Config Tool location admin,Attach a Terminal under a tier and assign its DefaultScreen,Terminal can be parented at Cell/WorkCenter/Area; behavior follows the assigned view from the MPP per-workstation list,,,,
FAT-TERM-110,FDS-02-011,Dedicated context locked,A dedicated-flavor terminal,Attempt to change the cell context,No scan/dropdown/search is offered; the parent Location is the fixed context for the session,,,,
FAT-TERM-120,FDS-02-011,Shared context change constrained,A shared-flavor terminal,Change context via the selector,"Change is allowed only via scan-or-dropdown, constrained to descendant equipment Cells of the terminal's parent (prevents cross-machine misattribution)",,,,
FAT-TERM-130,FDS-02-012,Part↔Cell eligibility — direct,A LOT being scanned into a cell,Scan a LOT whose Item has direct ItemLocation eligibility at the cell or an ancestor tier,Scan-in passes the eligibility check (ItemLocation_CheckEligibility),,,,
FAT-TERM-140,FDS-02-012,Part↔Cell eligibility — BOM-derived,A component LOT at an assembly cell,Scan a LOT that is a child line of an eligible parent's active BOM,Scan-in passes via BOM-derived eligibility (no explicit ItemLocation row required),,,,
FAT-TERM-150,FDS-02-012,Ineligible part rejected,A LOT with neither direct nor BOM-derived eligibility,Scan the LOT into the cell,Rejected: 'Part {PartNumber} is not configured for {CellCode} and is not a component of any part eligible there.',,,,
FAT-TERM-160,FDS-02-013,Tablet-friendly Die Cast screens,A Die Cast area tablet,Operate the Die Cast screens on the tablet,"Layout is touch-friendly (targets >= 44 px, portrait supported) and usable one-handed where practical",,,,ongoing design constraint
