TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-QH-010,FDS-05-013,LOT status codes,System seeded,Review the seeded LotStatusCode values,"Good, Hold, Scrap, Closed, and Open are all present with the correct Name and Description",,,,
FAT-QH-020,FDS-05-013,LOT status codes,System seeded,Inspect the BlocksProduction flag on each status,"Hold / Scrap / Closed block production; Good and Open do not (Open is the die-cast accumulator state)",,,,
FAT-QH-030,FDS-05-014,Status transition rules,A Good LOT fully consumed/split,Close the LOT (Good to Closed),"Transition is permitted and a LotStatusHistory row is written; Good to Closed is the enabled status-change path",,,,
FAT-QH-040,FDS-05-014,Status transition rules,A Good LOT,Attempt a disallowed direct status change (e.g. Good to Scrap),System rejects the transition with a clear message,,,,"Lot_UpdateStatus enables only Good to Closed; Hold transitions run through the hold workflow (place/release), Open to Good/Scrap only via die-cast Release/Void. Direct Good to Scrap / Hold to Scrap / Hold to Closed are not wired in the status-change proc."
FAT-QH-050,FDS-05-015,Status history,A LOT that has changed status,Open the LOT detail / history,"Each transition shows old status, new status, reason, changed-by user, terminal, and timestamp in Eastern time",,,,
FAT-QH-060,FDS-07-015,Container hold,A container in Complete status,Place a hold on the container from Hold Management,Container status flips to HOLD and a HoldEvent is recorded,,,,AIM PlaceOnHold is a Gateway-async step
FAT-QH-070,FDS-07-015,Container hold,A held container,Attempt to load/ship the held container at the Shipping Dock,System refuses to ship a held container,,,,
FAT-QH-080,FDS-07-016,Container hold release,A held container,Release the container hold,"Container returns to its pre-hold status (Complete) and is eligible for shipping again",,,,AIM ReleaseFromHold is a Gateway-async step
FAT-QH-090,FDS-08-001,Place LOT hold,A Good LOT; Hold Management screen open,Place a hold selecting a hold type and reason,"A HoldEvent records LOT, hold type, reason, placed-by user, and timestamp; LOT status transitions to Hold",,,,Hold types include Quality / Customer_Complaint / Precautionary
FAT-QH-100,FDS-08-001,Place LOT hold,A LOT already on an open hold,Attempt to place a second hold on the same LOT,System rejects — only one open hold per LOT is allowed,,,,
FAT-QH-110,NONE,Hold elevation gate,Logged in as an operator without elevation,Attempt to place or release a hold,Action requires AD elevation before it proceeds,,,,FDS-04-007 per-action elevation for Place/Release
FAT-QH-120,FDS-08-002,Hold effect,A LOT placed on Hold,Attempt to consume or advance the held LOT at a workstation,"Operation is rejected with a clear message; the BlocksProduction guard prevents production against a held LOT",,,,Universal Lot_AssertNotBlocked guard
FAT-QH-130,FDS-08-003,Hold release,A LOT on Hold,Release the hold with release remarks,"Hold records released-by user, released-at timestamp, and remarks; LOT status returns to its prior status (Good)",,,,
FAT-QH-140,FDS-08-004,Hold without NCM,A LOT to hold precautionarily,Place a Precautionary hold with no non-conformance record,"Hold is accepted with no NCM required (NonConformanceId is nullable)",,,,
FAT-QH-150,FDS-08-005,Partial disposition via split,A held LOT where only some parts are suspect,Split the held LOT to isolate the suspect parts,"Suspect child LOT can be scrapped while the remainder is released; the split is permanently recorded in genealogy",,,,MVP mechanism for partial quality disposition
FAT-QH-160,FDS-08-006,Bulk hold,Multiple candidate LOTs exist,"Search by criteria (part number, die, cavity, date range, location) and place a hold on several LOTs at once","Each selected LOT receives its own HoldEvent and transitions to Hold in a single action",,,,
FAT-QH-170,FDS-08-007,Container hold integration,A LOT that is the source of a completed container,Place a hold on that source LOT,System alerts that associated containers exist and may also need to be held,,,,SHOULD-level advisory alert
FAT-QH-180,FDS-08-011,Inspection recording,Inspection Entry screen; an item with a published quality spec,Scan/resolve a LOT,"The active published QualitySpec loads and its attributes render as an input repeater",,,,Standalone InspectionEntry view
FAT-QH-190,FDS-08-011,Inspection recording,Attribute form rendered for a LOT,Enter measured values and record the sample,"A QualitySample header plus one QualityResult per attribute is written; overall Pass/Fail is auto-computed from limits and audited",,,,
FAT-QH-200,FDS-08-011,Inspection recording,A LOT on Hold,Record an inspection against the held LOT,Inspection is allowed against a LOT in any status including Hold,,,,
FAT-QH-210,FDS-08-012,Failed inspection handling,A LOT whose measured value is out of limits,Record the inspection,"Overall result is Fail and the inspector is alerted; the system does NOT automatically place a hold",,,,Human judgment preserved
FAT-QH-220,FDS-08-012,Failed inspection handling,A just-recorded Fail result,Use the one-tap Place Hold affordance,A Quality hold is placed on the LOT from the inspection screen,,,,BRA affordance on InspectionEntry
FAT-QH-230,FDS-08-013,Quality attachments,A recorded quality sample,Attach a file (PDF/PNG/XLSX/CSV) to the sample,"Attachment metadata (file name, type, path, uploaded-at, uploaded-by) is stored in QualityAttachment",,,,"Backend built (QualityAttachment_Add/ListBySample procs + NQs + entity script); capture UI limited — no file-upload component wired into InspectionEntry yet"
FAT-QH-240,FDS-08-014,Sample triggers,Inspection Entry screen,Select a sample trigger (SHIFT_START / DIE_CHANGE / TOOL_CHANGE / etc.) when recording,The chosen trigger is captured on the QualitySample record,,,,CONDITIONAL — sampling workflows
FAT-QH-250,FDS-08-015,Representative sample,A LOT inspected with a passing sample,Review the LOT after a passing then a failing sample,"A passing sample represents the whole LOT and it continues; a failing sample flags the LOT for quality review (no auto-hold)",,,,CONDITIONAL — sampling workflows
