TaskId,Phase,Category,Title,EstimateHours,DependsOn,Status,Assignee,Description,Notes
T001,0,Decision,Architecture Decision Workshop - Track B (OI-35 B1-B8),6,,Resolved,Jacques,"Blue Ridge-owned. Resolve partitioning (B2), columnstore (B3), LotGenealogy closure table (B4), materialized TotalInProcess/InventoryAvailable (B5), IdentifierSequence locking (B6), OperationLog split (B7), filtered indexes (B8). Items 2/4/5/7 MUST be in the Phase-1 CREATE migration. Assumed defaults accepted per this validation",
T002,0,Decision,Customer Validation Gate - Track A (A1-A9),6,,Resolved,Jacques,"GATE CLEARED FOR BUILD 2026-06-08: proceed on assumed-defaults, MPP confirms in parallel (only S-08 blocks). A4 ShotCount=cumulative locked. MPP-owned workshop agenda in 2026-06-08_Phase0_Decision_Log.md. A1 OI-31 identifier cutover; A2 WorkOrder BIT-flags; A3 historical migration; A4 ShotCount semantics; A5 DefaultScreen+ConfirmationMethod seeding; A6 AIM Hold/Update contract; A7 label template scope; A8 OI-32 material allocation; A9 OI-33 AIM empty-pool hard-fail,
T003,0,Decision,Finalize per-table retention classes (B1) with MPP IT,3,T001,Resolved,Jacques,"BR PROPOSAL LOCKED 2026-06-08 (see decision log): 20yr=Lot/Genealogy/LotEventLog/StatusHistory/Movement/ContainerSerial/ShippingLabel/Consumption/Reject/QualitySample/QualityResult; 7yr=OperationLog/Failure/Interface/Config/Downtime/ProductionEvent+Value/QualityAttachment. MPP IT confirms; drives FDS-11. Negotiate 20yr vs 7yr per table. Honda traceability (Lots.* events, ContainerSerial, ShippingLabel, LotGenealogy) stays 20yr; push back on OperationLog/FailureLog/InterfaceLog/DowntimeEvent/ConfigLog. Drives FDS-11 retention amendment",
T004,0,Decision,Confirm WorkOrder BIT-flag enumeration (A2 / FDS-06-030),2,T002,Resolved,Jacques,"Which Flexware flags are live (IsCameraProcessingEnabled, IsScaleProcessingEnabled, GroupTargetWeight+tol+UOM, RecipeNumber, TrayQuantity, ReturnableDunnageCode, Customer). Dead flags do not ship in Phase-1 WorkOrder CREATE",
T005,0,Decision,Confirm Workstation DefaultScreen + ConfirmationMethod seeding (A5),2,T002,Resolved,Jacques,Per-Cell terminal-function Perspective views + per-Cell ConfirmationMethod (Vision/Barcode/Both). Phase-1 seed data for B11 routing + FDS-10-013,
T006,0,Decision,Confirm label template scope (A7/S-09) + AIM Hold/Update contract (A6),2,T002,Resolved,Jacques,Flexware 3 templates (CONTAINER/LOT/CONTAINER_HOLD) + any new (Sort Cage/Hold/Void). AIM PlaceOnHold/ReleaseFromHold/UpdateAim signatures + error recovery,
T007,0,Decision,Lock identifier-sequence cutover + format/reset/rollover policy (A1/OI-31/S-10),2,T002,InProgress,Jacques/Ben,"Format/mechanism LOCKED 2026-06-08: keep MESL/MESI, row-locked seq, seed ~3M, 9999999 rollover. OWED from Ben: exact seeds + rollout shape (cutover-gate not build-gate). Final cutover seed values + keep MESL/MESI vs mint new + reset + 9,999,999 rollover policy + Ben rollout-shape (single-line vs full-cutover vs shadow). Wrong seed = LTT collisions at cutover",
T008,0,Decision,Resolve UJ-03 sublot even-split default + UJ-05 serial migration direction,2,T002,Resolved,Jacques,"DECIDED 2026-06-08: UJ-03 NO auto-split default (operator enters all qtys; DROPS prior 50/50 even-split assumption - FDS reconcile at T009); UJ-05 update-in-place + ContainerSerialHistory (B10), awaits MPP Quality+Honda. Orig:UJ-03: auto-prompt 50/50 even split default (confirm all parts split or only some). UJ-05: update-in-place + ContainerSerialHistory default; awaits MPP Quality + Honda affirmation,
T009,0,Documentation,Phase 0 sign-off - decision log + Data Model + FDS amendments,4,"T001,T002,T003,T004,T005,T006,T007,T008",InProgress,Jacques,"STAGED 2026-06-08: insert-ready amendment Blocks 1-5 in 2026-06-08_Phase0_Decision_Log.md (DM Scaling Decisions, FDS-11 retention, B10, OIR OI-35 closure+UJ-03/05, C-4/C-5 partition pin). Apply to canonical docs (which have uncommitted parallel edits) to finalize; then Phase 0 signed off + T010 unblocked.Phase-0 GATE. Decision log appended to OIR with signed-off dates; Data Model bump adds sec Scaling Decisions (drives Phase-1 migration content); FDS-11 retention paragraph drafted; B10 serial-migration convention finalized. Unblocks all Phase 1,
T010,1,Migration,Write migration 0020 CREATE core Workorder event tables,5,T009,NotStarted,,"0020_arc2_phase1_shop_floor_foundation.sql. CREATE Workorder.WorkOrder, WorkOrderOperation, ProductionEvent, ProductionEventValue, ConsumptionEvent, RejectEvent. BIGINT IDENTITY PKs, FK to Lots/Parts/Oee.Shift. XDEP: Phase 0 complete; OI-35 architecture gate resolved",
T011,1,Migration,Write migration 0020 CREATE Lots.Lot with Tool/Cavity columns,4,T010,NotStarted,,"CRITICAL B-2: Lots.Lot does NOT exist (Arc 1 only built Lots code tables). CREATE Lots.Lot incl ToolId + ToolCavityId FK columns built in, plus materialized TotalInProcess/InventoryAvailable columns (B5) + CrtActive BIT NOT NULL DEFAULT 0 (FDS-10-012 Controlled Run Tag hook; CRT workflow in Phase 9).",
T012,1,Migration,Write migration 0020 CREATE Lots history tables (LotStatusHistory + LotMovement),3,T011,NotStarted,,CREATE Lots.LotStatusHistory and Lots.LotMovement append-only event tables. Phase-1 Lot_UpdateStatus/Lot_MoveTo procs write to them,
T013,1,Migration,Write migration 0020 CREATE Lots.IdentifierSequence table,2,T010,NotStarted,,"CREATE Lots.IdentifierSequence (sequence-name keyed, current value, format template). Row-locked _Next proc reads/updates it (B6)",
