TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-USR-010,FDS-04-001,Two identity classes,Config Tool AppUser admin,Create an operator AppUser and an interactive-user AppUser,"Operator saved with AdAccount NULL, Initials NOT NULL, no Ignition role; interactive user saved with AdAccount and a role",,,,
FAT-USR-020,FDS-04-001; FDS-01-012,Event attribution by AppUserId,Any shop-floor event recorded,Inspect the stored attribution on the event,"Event stamps a resolved AppUserId (never free-text initials or names); the record also carries the TerminalLocationId of the acting terminal, and system-triggered events are attributed to the system account",,,,
FAT-USR-030,FDS-04-002; FDS-01-010,Operator initials capture,A shop-floor terminal at idle,Approach the terminal and perform a first action,UI prompts for initials; MES resolves the AppUser and establishes an operator presence context; no password is verified,,,,
FAT-USR-040,FDS-04-002,Presence context handoff,An operator presence context established,Enter a different operator's initials,New presence context replaces the prior one for subsequent events,,,,
FAT-USR-050,FDS-04-003,Dedicated presence policy,A terminal running a dedicated-flavor view,Leave idle then return,policy = confirm; initials persist across idle gaps subject only to the 30-minute re-confirmation,,,,
FAT-USR-060,FDS-04-003,Shared presence policy,A terminal running a shared-flavor view (e.g. Die Cast cabin),Return after idle or change the cell context,policy = strict; initials re-requested on first action after idle and re-prompted when the operator changes cell context,,,,
FAT-USR-070,FDS-04-004; FDS-01-010,Interactive user AD auth,An interactive user (Quality/Supervisor/Engineering/Admin),Log into the Config Tool with AD credentials,Authenticates via Ignition's AD user source; operators do not exist in AD,,,,
FAT-USR-080,FDS-04-005,Pre-populated initials field,A mutation screen under an operator presence context,Open a shop-floor mutation form,Initials field is pre-populated from the presence context; operator may override before submit,,,,
FAT-USR-090,FDS-04-005,Unknown/deprecated initials blocked,A shop-floor mutation form,Submit with unknown or deprecated initials,Submission blocked with a clear message via AppUser_GetByInitials; no auto-creation of users from unknown initials,,,,
FAT-USR-100,FDS-04-006,30-minute re-confirmation,A terminal idle longer than 30 minutes,Interact with the terminal,"Re-confirmation overlay 'Operate as [XY]?' with [Yes] / [No — change]; Yes continues the context, No opens initials entry and clears the prior context",,,,
FAT-USR-110,FDS-04-006,Configurable timeout,Config Tool presence-timeout setting,Change the re-confirmation interval,The 30-minute value is a Configuration Tool setting (not hard-coded) and takes effect,,,,
FAT-USR-120,FDS-04-007,Per-action AD elevation,A shop-floor terminal with operator presence,Trigger an elevated action (e.g. place hold / scrap),"Elevation prompt accepts AD username+password; on success the action is stamped with the authenticating user's AppUserId, not the operator presence context",,,,
FAT-USR-130,FDS-04-007,Elevation not session-sticky,An elevated action just completed,Trigger a second elevated action,Each elevated action re-prompts for AD; there is no session-sticky (5-minute) elevation,,,,
FAT-USR-140,FDS-04-007,Elevation cancel,Elevation prompt open,Cancel the prompt,Action does not execute; UI returns to the prior state,,,,
FAT-USR-150,FDS-04-008,Ignition role mapping,AD groups mapped to Ignition roles,Sign in as each interactive role,Quality / Supervisor / Engineering / Admin capabilities resolve per their AD group; Operator is the absence of interactive authentication,,,,
FAT-USR-160,FDS-04-009; FDS-01-011,Screen-level security,Shop-floor and Config Tool screens,Access each without interactive authentication,Shop-floor screens open on operator presence alone and expose no master-data functions; Config Tool / Supervisor / Engineering screens require AD auth on page entry,,,,
FAT-USR-170,FDS-04-009,Elevated controls visible but gated,A shop-floor screen with elevated action buttons,View and activate an elevated control as an operator,Control is visible but triggers the FDS-04-007 AD prompt on activation; an unauthorised user cancels out,,,,
FAT-USR-180,FDS-04-010,Operator AppUser lifecycle,Admin-only AppUser screen,Create an operator whose initials collide with an existing row,Admin enters disambiguating initials (unique); operator rows carry AdAccount NULL and no Ignition role,,,,
FAT-USR-190,FDS-04-010,Operator deprecation,An operator AppUser with historical events,Deprecate the operator,Standard DeprecatedAt soft-delete; events referencing the operator retain the historical AppUserId,,,,
