TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-SHIFT-010,FDS-09-001,Manual downtime entry,Terminal assigned to a Cell/machine; Downtime Manager reachable from the plant-floor header,Open the Downtime Manager and start a new manual downtime event,"A downtime event opens with the machine auto-populated from the terminal location; reason code, start time, and remarks are captured",,,,
FAT-SHIFT-020,FDS-09-001,Manual downtime entry,An open downtime event exists on this machine,End the open event when the machine resumes,Event is closed (EndedAt set); duration is computed; the event is stamped with the operator,,,,
FAT-SHIFT-030,FDS-09-001,Add a past downtime event,Downtime Manager open,Use Add-Past to record a fully-elapsed downtime event with start and end in the past,A closed historical event is recorded and shift-stamped; it appears in the terminal's event list,,,,BRA affordance (DowntimeEvent_RecordHistorical)
FAT-SHIFT-040,FDS-09-002,PLC-triggered downtime,PLC downtime is not yet commissioned for this line,Confirm the PLC-stop watcher exists and a PLC-sourced event can carry a null reason for later assignment,"Design supports source=PLC events with a null reason the operator assigns after the fact; PLC auto-trigger is commissioning-gated (watcher present, no-op until configured)",,,,PLC auto-downtime gated pending commissioning
FAT-SHIFT-050,FDS-09-002,PLC-triggered downtime,A downtime event with source=PLC and no reason code,Assign a reason code to the unclassified PLC-sourced event,Reason is bound after the fact and the event is reclassified,,,,
FAT-SHIFT-060,FDS-09-003,Open downtime visibility,A machine with an active (unended) downtime event,View the machine's production screen / plant-floor header,The open event is shown prominently (line-down indicator); open events remain visible until closed,,,,
FAT-SHIFT-070,FDS-09-004,Downtime immutability,An existing downtime event,Attempt to edit the event's StartedAt,"StartedAt is immutable and cannot be overwritten; only EndedAt, reason code, and remarks are editable",,,,
FAT-SHIFT-080,FDS-09-004,Downtime void,An erroneous downtime event,Void the event from the Downtime Manager,"Event is soft-voided (append-only, no hard delete): marked voided with reason/user, closed if still open, excluded from rollups but still visible",,,,"BRA — soft void, double-void rejected"
FAT-SHIFT-090,FDS-09-005,Reason-code filtering,Downtime Manager open on a machine in a known area,Select a reason type then pick a specific code,"Reason codes are filtered by the machine's area and by reason type; operator selects the type first, then the code within it",,,,"Types: Equipment, Mold, Quality, Setup, Miscellaneous, Unscheduled"
FAT-SHIFT-100,FDS-09-010,Shift-downtime association,A downtime event started within a shift window,Inspect the event's shift association,Event is associated with the shift instance in which it started (ShiftId FK),,,,
FAT-SHIFT-110,FDS-09-010,Shift-boundary handling,A downtime event still open at a shift boundary,Cross the shift boundary without resuming the machine,Event is not auto-split; it stays associated with the shift it started in and remains open until the incoming operator closes it,,,,
FAT-SHIFT-120,FDS-09-013,End-of-shift time entry,Logged in on a dedicated-flavor terminal near scheduled shift end,Open the shift end-time-entry control and toggle the breaks taken,A toggle button appears per scheduled break; tapping selects/deselects with no numeric duration entry; the control is visible only ~15 min before through ~15 min after scheduled shift end,,,,
FAT-SHIFT-130,FDS-09-013,End-of-shift time entry,Break buttons toggled,Submit the end-of-shift entry,One closed DowntimeEvent is written per selected break with duration resolved from the schedule (not operator-entered); one submission per operator per shift (re-submit rejected),,,,
FAT-SHIFT-140,FDS-09-013,End-of-shift time entry (shared flavor / zero breaks),Shared-flavor terminal at shift end,Enter initials and submit with no breaks selected,Initials resolve to an AppUser and stamp the submission; selecting zero breaks is valid — no DowntimeEvent rows written but the shift-end acknowledgement is still recorded,,,,
FAT-SHIFT-150,FDS-09-014,Early-start behaviour,Production recorded before the scheduled shift start,Record a production event with a timestamp earlier than scheduled start,Event is accepted without rejection; the availability window expands backward to the earliest event,,,,
FAT-SHIFT-160,FDS-09-014,Shift-not-run auditability,A scheduled shift with zero production events across its whole window,Advance past the scheduled window and inspect the shift,An Oee.Shift instance is still created and reports as zero-run for auditability,,,,Reconcile ticker snaps boundaries (Oee.Shift_Reconcile)
FAT-SHIFT-170,FDS-09-015,Shift-end summary,"Terminal with open downtime, open LOT pauses, and in-process LOTs at its Cell",Open the Shift-End Summary (or trigger Handover),"A read-only one-screen summary lists open downtime events, open LOT pauses, and in-process LOTs at the terminal's Cell(s)",,,,
FAT-SHIFT-180,FDS-09-015,Shift-end handover acknowledgement,Shift-End Summary displayed,Acknowledge the summary as the outgoing operator,Handover acknowledgement is recorded to Audit.OperationLog (ShiftHandoverAcknowledged); the summary is optional and may be skipped without affecting open events/pauses,,,,
FAT-SHIFT-190,FDS-12-005,Die Shot report,Die-cast production and rejects captured for a die over a shift,Request a Die Shot report for a die and shift,"Report shows total shots, good shots, warm-up shots, and reject counts per die per shift",,,,Inputs captured (DieCastContribution/shift output); dedicated report screen pending in this build
FAT-SHIFT-200,FDS-12-006,Rejects report,Rejects recorded with defect codes across machines,Request a Rejects report filtered by defect code / area / machine / date range,Report shows reject counts grouped by defect code with area/machine/date-range filters,,,,Inputs captured; dedicated report screen pending in this build
FAT-SHIFT-210,FDS-12-007,Downtime report,Downtime events captured across a date range,Request a Downtime report filtered by reason code / reason type / area / machine / date range,Report shows downtime events by reason code and type with total downtime minutes per shift,,,,Inputs captured via Downtime Manager/DowntimeEvent; dedicated report/CSV-export screen pending in this build
FAT-SHIFT-220,FDS-12-008,Production report,Production output recorded by part / machine / shift,Request a Production summary report over a date range,"Report summarizes output by part number, machine, and shift with good count, reject count, and yield",,,,Inputs captured; dedicated report screen pending in this build
FAT-SHIFT-230,FDS-09-009,Shift instances event-derived,A shift schedule active for the line,Start and end a shift via events,"Shift instances are event-derived at runtime (Shift_Start / Shift_End, toggle-per-break); no pre-computed minutes; the reconcile ticker snaps boundaries to schedule",,,,
