TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-LBL-010,FDS-05-024,Sublot label,A sublot LOT created from a parent,Print the sublot LTT label,The label displays both the sublot's own LotNumber and the ParentLotNumber; the LotLabel row carries a ParentLotId reference,,,,
FAT-LBL-020,FDS-05-024,Sublot cross-reference,A sublot with a known parent,"In the genealogy view, enter either the sublot or the parent number",The system resolves and shows the other number; the parent reference is preserved through reprint,,,,
FAT-LBL-030,FDS-05-019,Label print tracking,Any LOT with a printable LTT,Print an LTT label,"A LotLabel row is recorded with LOT, print reason, rendered ZPL content, printer name, printed-by user, terminal, and timestamp",,,,
FAT-LBL-040,FDS-05-020,Print reasons,LOTs reaching each print trigger,"Trigger prints across scenarios (LOT creation, damaged reprint, split, merge, sort-cage re-identify)","Each print records the correct reason code — Initial, ReprintDamaged, Split, Merge, or SortCageReIdentify",,,,
FAT-LBL-050,FDS-07-006,Shipping label generation,A completed container with a claimed AIM shipper ID,Inspect the generated shipping label,"A ZPL shipping label carries the AIM shipper ID, part number, quantity, and Honda-required fields and is sent to the terminal's Zebra",,,,Zebra raw-TCP 9100; simulated in dev
FAT-LBL-060,FDS-07-007,Shipping label tracking,Shipping labels printed / voided / reprinted,Review the ShippingLabel rows,"Every print, void, and reprint is recorded with container, AIM shipper ID, label type, ZPL content, void flag, printed/voided timestamps, and printed-by user",,,,
FAT-LBL-070,FDS-07-008,Shipping label void,A completed container's shipping label,Void the shipping label,"IsVoid=1 and VoidedAt are set, the row is retained (not deleted), and AIM is notified of the void",,,,AIM endpoint simulated in dev
FAT-LBL-080,FDS-07-008,Void ID lifecycle,A voided AIM shipper ID,Re-pack the container and close the new container,The voided AIM ID is NOT returned to the pool (permanently consumed); the re-packed container draws a fresh ID from the pool,,,,
FAT-LBL-090,FDS-07-009,Shipping label reprint,A damaged/unreadable shipping label,Reprint the label as an authorized user,A NEW ShippingLabel row is created (Initial=0 with a print reason); the original row is unchanged,,,,
FAT-LBL-100,FDS-07-010,AIM pool FIFO,A pool pre-fetched with AIM shipper IDs for the part,Complete containers and inspect the pool,"IDs are consumed FIFO (oldest FetchedAt first) at container close; each consumed row is terminal (ConsumedAt set, pointing at the consuming container)",,,,
FAT-LBL-110,FDS-07-010,Empty-pool hard fail,An exhausted AIM pool for the part,Attempt to complete a full container,Completion hard-fails before the transaction (container stays Open) and production stops on the line until the pool refills — no soft fallback,,,,OI-33 posture
FAT-LBL-120,FDS-07-011,AIM hold notification,A completed container placed on hold,Place the container on hold; then release it,AIM PlaceOnHold is called with the shipper ID on hold and ReleaseFromHold on release; both calls are logged to Audit.InterfaceLog,,,,AIM HTTP endpoint simulated in dev (logs attempt + not-configured status)
FAT-LBL-130,FDS-07-012,AIM update for re-sort,A Sort Cage re-pack with serial migration,Re-pack a container with new serials,AIM UpdateAim is called with the new and previous serial parameters and logged to Audit.InterfaceLog,,,,AIM endpoint simulated in dev
FAT-LBL-140,FDS-10-008,Zebra integration,A terminal with an associated Zebra printer,Print a label from that terminal,"ZPL is sent over a TCP socket to the terminal's configured printer; ZPL templates come from configurable LabelTemplate rows, not hard-coded",,,,Zebra raw-TCP 9100; no networked printer in dev (simulated)
FAT-LBL-150,FDS-10-008; FDS-01-014,Async print dispatch + retry,A shipping label queued at container close,Force a print failure at the Zebra,"Dispatch is async (Gateway-script-async); on failure the handler retries up to 3 attempts with a 2s gap, then sets PrintFailedAt and surfaces a terminal banner; a stranded-print sweep catches orphaned labels",,,,Print-failure lifecycle; dev SIM fails-fast + logs
FAT-LBL-160,FDS-13-001,AIM interface methods,AIM integration configured,Exercise each AIM trigger,"All four methods are implemented and fire on their triggers — GetNextNumber (pool topup), UpdateAim (Sort Cage re-pack), PlaceOnHold (hold), ReleaseFromHold (release)",,,,AIM endpoint simulated in dev; live HTTP wiring at commissioning
FAT-LBL-170,FDS-13-002,AIM error handling,An AIM call that fails,Trigger an AIM call while the endpoint is unavailable,"The failure is logged to Audit.InterfaceLog with error details, queued for retry, the shipping operator is alerted the call is pending, and the container stays in its current status until the call succeeds",,,,AIM endpoint simulated in dev
FAT-LBL-180,FDS-13-003,AIM availability,A pre-fetched AIM pool with AIM offline,Complete containers during an AIM outage,Containers still complete and stage from the pre-fetched pool and production is not blocked by the AIM outage; only a fully exhausted pool stops closure (per the pool hard-fail),,,,
FAT-ENV-170,FDS-01-014,Async dispatch,Container ready to complete with an assigned printer,Complete a container and observe the label dispatch,"The proc commits DB state (ShippingLabel row, PrintedAt NULL) and returns immediately; the print is dispatched async via sendRequestAsync — the operator is not blocked on printer latency",,,,
