TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-PLC-010,FDS-10-001,Serialized MIP touch points,"MPP_Sim running; a SerializedMipStation UDT instance exists with a /plc-devices mapping to its terminal",Inspect the serialized MIP UDT instance members against the 5GO_AP4 Touchpoint Agreement,"Instance exposes DataReady, TransInProc, PartSN, PartValid, HardwareInterlockEnforced, WatchDog, ContainerCount, PartType and the alarm member per FDS-10-001",,,,"Simulator-validated against MPP_Sim; live device tag-map (OpcServer/Device/BasePath) applied at hardware commissioning"
FAT-PLC-020,FDS-10-001,Serialized MIP touch points,A TerminalPlcDevice mapping row exists for the station,Open /plc-devices and confirm the serialized station terminal is bound to its `[MPP]PlcDevices/<device>` instance path,"Mapping resolves (PlcWatcher.dispatch finds the terminal + device type); edges on the instance route to the SerializedMip watcher",,,,
FAT-PLC-030,FDS-10-002,Serialized MIP transaction flow,"A LOT is queued at the assembly-out terminal; Sim Panel /dev/sim/plc open on the device",Seed a valid PartSN (>=6) with HardwareInterlockEnforced=True and fire DataReady,"MES sets TransInProc, reads PartSN + interlock, mints the serialized part against the FIFO front LOT, writes PartValid=1, then resets TransInProc + DataReady; a PlcHandshake InterfaceLog row is written",,,,Simulator-validated via /dev/sim/plc against the live watcher
FAT-PLC-040,FDS-10-002,Serialized MIP transaction flow,Serialized MIP device selected in the Sim Panel; a LOT queued at the terminal,Fire DataReady with HardwareInterlockEnforced=False and a blank PartSN,"Validation is skipped (NoRead path, FDS-06-012); SerializedPart_Mint auto-generates a serial and the part is accepted with PartValid=1",,,,Simulator-validated
FAT-PLC-050,FDS-10-003,MIP alarms,A serialized part with a given PartSN already exists,Fire DataReady re-using that duplicate PartSN,"Mint is rejected — PartValid=0, alarm text written (HMI-gated), and a failed PlcHandshake row is logged to Audit.InterfaceLog",,,,Duplicate dedup is enforced in SerializedPart_Mint; simulator-validated
FAT-PLC-060,FDS-10-003,MIP alarms,Serialized MIP device in the Sim Panel,"Attempt the Invalid-PartSN and Low-Inventory alarm cases",Alarm message surfaces to the operator/HMI for each,,,,"Only the duplicate/rejection alarm is wired today; the invalid-PartSN min-length gate and the low-inventory-threshold alarm are proc-level commissioning fill-ins (flagged in the runbook §E)"
FAT-PLC-070,FDS-10-004,Non-serialized disposition line,"A NonSerializedMipStation instance mapped to a 5A2-style terminal; Sim Panel open",Fire DataReady on the non-serialized device,"Watcher sets TransInProc, acknowledges the handshake, logs it, and resets TransInProc + DataReady",,,,"Handshake choreography simulator-validated; the FG + tray-piece-count line config (_resolveLineConfig) is a commissioning fill-in — until supplied the completion mint is deliberately skipped (not faked), per runbook §E"
FAT-PLC-080,FDS-10-004,Non-serialized disposition line,A TrayInspectionStation device selected in the Sim Panel,Fire InspectionComplete with a mix of PartDisposition slot flags set,The 18 PartDisposition slots are read by the watcher,,,,"Disposition slots are read; the passed-parts-count / open-container tray-close bookkeeping is line-specific commissioning (runbook §E)"
FAT-PLC-090,FDS-10-005,Vision line-stop,"A LOT queued at the tray-inspection terminal whose Item.PlcId is set; Sim Panel open",Fire TrayLocked on the tray-inspection device,The front FIFO LOT's Item.PlcId is written to the instance PartNumber member (the PLC vision recipe is selected before inspection),,,,Simulator-validated
FAT-PLC-100,FDS-10-005,Vision line-stop,TrayLocked already fired (recipe selected) for the front LOT,Fire InspectionComplete with a VisionPartNumber that does NOT match the expected recipe,"LINE STOP — OkToContinue stays false (tray left locked, no release), a PlcLineStop event is written to Audit.InterfaceLog, and the HMI alarm is raised (gated); the LOT's LotStatusCode is left untouched (no Hold)",,,,"Simulator-validated; line-stop signal to the PLC is asserted by holding OkToContinue false. Optional formal Quality.Hold on mismatch is a deliberate policy hook, not auto-placed"
