TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-PH-010,FDS-02-001,ISA-95 location types seeded,Config Tool open at Plant Hierarchy,Inspect the location-type tiers available in the hierarchy,"Five ISA-95 types exist — Enterprise, Site, Area, Work Center, Cell — with ascending hierarchy levels",,,,
FAT-PH-020,FDS-02-001,Location types are read-only,Config Tool open at Plant Hierarchy,Attempt to rename or delete one of the five location types,No edit/delete affordance for the LocationType tiers; they are seed-locked and not editable by engineering,,,,
FAT-PH-030,FDS-02-002,Flexible tier nesting,An Area with no Work Center tier beneath it,Create a Cell directly under the Area,"Cell is accepted as a direct child of the Area — strict sequential tiers are not required, only child level >= parent level",,,,
FAT-PH-040,FDS-02-002,Relocation via deprecate + recreate,An existing Location in the tree,Attempt to change a Location's parent,"No reparent control exists; ParentLocationId is immutable — relocation is done by deprecating the row and creating a new one under the new parent, preserving history",,,,
FAT-PH-050,FDS-02-003,Areas seeded as instances,Config Tool open at Plant Hierarchy,Inspect the Area-tier nodes under the Site,"MPP's operational areas exist as Location instances (Die Cast, Trim Shop, Machine Shop, Production Control, Quality Control) with ProductionArea / SupportArea definitions",,,,
FAT-PH-060,FDS-02-004,Location kinds per tier,Config Tool open at the Location Type Definition editor,Review the definitions (kinds) available within each tier,"Each tier lists its seeded kinds (e.g. Cell -> Terminal, DieCastMachine, CNCMachine, TrimPress, InventoryLocation, Scale); every Location instance references exactly one",,,,
FAT-PH-070,FDS-02-004,Add a new kind,Location Type Definition editor open,Create a new LocationTypeDefinition under a tier and save,New kind is added and available for new Location instances with no schema change; change is audited,,,,
FAT-PH-080,FDS-02-005,Attribute schema per kind,A Location Type Definition selected in the editor,Define attribute definitions on the kind and compare against another kind at the same tier,Attributes attach per-definition (e.g. DieCastMachine carries Tonnage/RefCycleTime; Terminal carries IpAddress/DefaultPrinter/HasBarcodeScanner) — schemas are disjoint across kinds,,,,
FAT-PH-090,FDS-02-006,Attribute value integrity,A Terminal-kind Location selected in the tree,Open its attribute values and review the offered attributes,Only attributes belonging to the Terminal definition are offered; a DieCastMachine attribute (e.g. Tonnage) cannot be set on a Terminal,,,,
FAT-PH-100,FDS-02-007,Machine seed data loaded,Deployment seed applied,Verify the FRS Appendix B machines are present as Cell Locations,"The ~230 machines are loaded as Cell-tier Locations under their Areas/Work Centers with appropriate kinds and seeded attribute values (tonnage, cycle time where available)",,,,deploy-day / cutover seed
FAT-PH-130,FDS-03-015,Eligibility management CRUD,Configuration Tool Eligibility screen open for an item,"Add an ItemLocation row (target any tier — Area, Work Center, or Cell), update it, and remove another",Rows are created/updated/removed with the Location picker allowing any tier; every change is logged to the config audit log,,,,
FAT-PH-140,FDS-03-018,Consumption metadata on eligibility,An eligibility row being edited,Enable IsConsumptionPoint and set Min / Max / Default quantities,"Min/Max/Default inputs appear when IsConsumptionPoint is enabled and persist on the row; they drive the runtime Allocations grid (pre-fill Default, validate Min <= entered <= Max)",,,,metadata drives shop-floor scan-in
