TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-ASM-010,FDS-06-010,Serialized assembly part cycle,Serialized line with a MIP-integrated PLC; an open container/tray and an identified source LOT,"Run one part cycle: PLC asserts DataReady, MES reads PartSN","MES validates the serial (not duplicate, format valid, source LOT not on hold), writes PartValid=1, mints a SerializedPart, places it in the tray as a ContainerSerial, decrements the source LOT per BOM, and writes a Consumption genealogy edge",,,,PLC commissioning / simulator
FAT-ASM-020,FDS-06-010,Serialized assembly part cycle,A serial number already recorded in the system,Present a duplicate (or bad-format) PartSN on the next cycle,MES writes PartValid=0 back to the PLC and rejects the part; no SerializedPart / ConsumptionEvent is written,,,,PLC commissioning / simulator
FAT-ASM-030,FDS-06-010,Serialized tray completion,A serialized tray filled to its configured part count,Complete the serialized tray,"A finished-good LOT is minted (tray = LOT); every SerializedPart for the tray sets ProducingLotId to that LOT and each ConsumptionEvent targets it via ProducedLotId; ContainerSerial still pins each serial to its tray",,,,PLC commissioning / simulator
FAT-ASM-040,FDS-06-011,Serialized material identification,"Operation template has RequiresMaterialVerification = true; a GOOD source LOT that is a BOM component",Scan the source LOT's LTT barcode before production,"BOM-based verification passes — item matches an active-BOM component, status GOOD, sufficient pieces — and the LOT is accepted as a consumption source",,,,
FAT-ASM-050,FDS-06-011,Serialized material identification,A LOT whose item is NOT in the active BOM,Scan the wrong-part LOT,System rejects the material with a clear wrong-part error and does not record consumption,,,,
FAT-ASM-060,FDS-06-011,BOM substitute override,A wrong-part scan blocked by the strict BOM check,A supervisor authorizes a one-shot BOM-substitute override via AD elevation,"The scanned LOT is accepted despite the BOM mismatch; an Audit.OperationLog row captures the original BOM expectation, substitute, operator, supervisor, terminal, and timestamp",,,,
FAT-ASM-070,FDS-06-012,Hardware interlock bypass,Automation sets HardwareInterlockEnable=false,Run a part cycle in bypass mode,"MES accepts PartSN=NoRead, still records the production/serial, flags the NoRead for quality review, sets ContainerSerial.HardwareInterlockBypassed=1, and does NOT block production",,,,PLC commissioning / simulator
FAT-ASM-080,FDS-06-013,Non-serialized tray = LOT mint,"Non-serialized assembly cell; FG item eligible; component stock staged at the line",Select the FG item from the eligibility dropdown and complete a tray,"A finished-good LOT is minted (origin Manufactured, at the cell) whose PieceCount equals the closure-determined count; the tray references that LOT",,,,
FAT-ASM-090,FDS-06-013,Non-serialized BOM consumption,A minted FG tray with multiple component LOTs staged,Inspect the component draw after tray completion,"BOM components are consumed FIFO oldest-first by CreatedAt into the FG LOT; source LOTs are decremented (and closed at zero); a Consumption edge links each source to the FG LOT",,,,
FAT-ASM-100,FDS-06-013,Non-serialized insufficient stock,A tray whose BOM needs more component pieces than are staged,Attempt to complete the tray,"System refuses and names the short component(s) with need-vs-have (e.g. PartNumber (need X, have Y)); no FG LOT is minted",,,,
FAT-ASM-110,FDS-06-014,Tray validation,"A ByCount container config with a defined PartsPerTray",Complete a tray whose parts count does not match PartsPerTray,System rejects the tray with a count-mismatch message; a matching count is required to close,,,,
FAT-ASM-120,FDS-06-014,Container accumulation,An open container being filled tray by tray,Complete successive trays and watch the container running count,"Each completed tray increments the container by PartsPerTray; the container reports FULL when accumulation reaches TraysPerContainer x PartsPerTray",,,,
FAT-ASM-130,FDS-06-014,Over-fill tray guard,An open container already at its full target,Attempt to complete another tray onto it,System refuses the tray and prompts to Complete/ship the full container before starting a new tray,,,,
FAT-ASM-140,FDS-06-020,Consumption tracking,A completed non-serialized tray,Inspect the ConsumptionEvent rows written for the tray,"Each event is immutable and records source LOT, ProducedLotId = the FG LOT, consumed item, produced item, piece count, location, operator, terminal, tray, and timestamp",,,,
FAT-ASM-150,FDS-06-021,Consumption genealogy,A finished-good LOT minted from assembly,Open the genealogy for the FG LOT,"A Consumption genealogy edge + closure links the FG LOT back to every component LOT consumed (shape Container -> Tray -> FG LOT -> component LOTs); Honda trace resolves through the closure table",,,,
FAT-ASM-160,FDS-06-028,Completion confirm gate,A terminal with RequiresCompletionConfirm set,Complete a full container at that terminal without confirming,"Container_Complete refuses until the operator presses the large Confirm Completion gesture; a terminal without the attribute proceeds with a passive popup",,,,
FAT-ASM-170,FDS-06-028,Auto-finish on target,A WO configured for camera-count (or scale-weight) auto-finish,Drive cumulative good count (or weight) to the target with the PLC CompletionConfirmed BIT asserted,"WO auto-closes only when BOTH the count/weight crossing AND the PLC CompletionConfirmed BIT are true; the crossing alone does not close",,,,WO subsystem CONDITIONAL; PLC commissioning / simulator
FAT-ASM-180,FDS-06-029,Tray-divisibility on WO close,A WO whose cumulative good count is not evenly divisible by PartsPerTray,Attempt to close the WO,"Close is blocked with ""Work order target quantity exceeded. Ensure target quantity is evenly divisible by the tray quantity""; supervisor AD elevation overrides (reason logged)",,,,WO subsystem CONDITIONAL
FAT-ASM-190,FDS-07-001,Container creation,"An assembly cell with no open container for the FG item",Complete the first tray (non-serialized) or place the first serialized part,"A Container is created automatically (assigned config, Open status) and begins filling",,,,
FAT-ASM-200,FDS-07-002,Container status codes,A container progressing through its lifecycle,Complete then ship a container; separately place one on hold / void one,"Status is driven by ContainerStatusCode: Open -> Complete -> Shipped, with Hold and Void available for quality disposition",,,,
FAT-ASM-210,FDS-07-003,Serialized container filling,A serialized line with an open container,Place serialized parts through successive tray positions,"Each part creates a ContainerSerial (container, tray, serial, position); the tray count advances at PartsPerTray and the container closes at TraysPerContainer",,,,PLC commissioning / simulator
FAT-ASM-220,FDS-07-004,Non-serialized container filling,A non-serialized line packing a container,Fill and close trays until the container reaches capacity,ContainerTray rows are created as trays close and the container closes when configured capacity is reached,,,,
FAT-ASM-230,FDS-07-005,Container closure,A full open container with an available AIM shipper ID in the pool,Complete the container,"In one atomic local-DB transaction the container flips to Complete, claims the next FIFO AIM shipper ID, stores it on the container, and inserts a ShippingLabel row — no in-between state without an AIM ID",,,,
